SM_revenue,reg_revenue,im_revenue,im_special_revenue_DK1,Deg_cost,Deg_cost_by_cycle
242136.722071794,0.0,0.0,0.0,0.0,0.0
1380805.0,0.0,0.0,0.0,0.0,0.0
1415602.5,0.0,0.0,0.0,0.0,0.0
1223219.642049544,0.0,0.0,0.0,0.0,0.0
1364816.0,0.0,0.0,0.0,0.0,0.0
1487099.0,0.0,0.0,0.0,0.0,0.0
676689.79215,0.0,0.0,0.0,0.0,0.0
779137.5,0.0,0.0,0.0,0.0,0.0
668175.0,0.0,0.0,0.0,0.0,0.0
268751.0,0.0,0.0,0.0,0.0,0.0
1778099.5,0.0,0.0,0.0,0.0,0.0
708639.0,0.0,0.0,0.0,0.0,0.0
799749.0,0.0,0.0,0.0,0.0,0.0
1466548.5,0.0,0.0,0.0,0.0,0.0
265989.5,0.0,0.0,0.0,0.0,0.0
932247.5,0.0,0.0,0.0,0.0,0.0

842371.0,0.0,0.0,0.0,0.0,0.0
1391656.995577008,0.0,0.0,0.0,0.0,0.0
656674.0,0.0,0.0,0.0,0.0,0.0
1998931.5168335,0.0,0.0,0.0,0.0,0.0
822678.5,0.0,0.0,0.0,0.0,0.0
771356.0,0.0,0.0,0.0,0.0,0.0
208689.5,0.0,0.0,0.0,0.0,0.0
1194397.8428099998,0.0,0.0,0.0,0.0,0.0
1420736.5,0.0,0.0,0.0,0.0,0.0
224778.0,0.0,0.0,0.0,0.0,0.0
1219679.5,0.0,0.0,0.0,0.0,0.0
1961059.053025,0.0,0.0,0.0,0.0,0.0
755543.0,0.0,0.0,0.0,0.0,0.0
761722.5,0.0,0.0,0.0,0.0,0.0
853592.0,0.0,0.0,0.0,0.0,0.0
539481.42618414,0.0,0.0,0.0,0.0,0.0
276387.0,0.0,0.0,0.0,0.0,0.0
275736.5,0.0,0.0,0.0,0.0,0.0
887160.5,0.0,0.0,0.0,0.0,0.0
251210.5,0.0,0.0,0.0,0.0,0.0
842857.5,0.0,0.0,0.0,0.0,0.0
721335.5,0.0,0.0,0.0,0.0,0.0
805841.0,0.0,0.0,0.0,0.0,0.0
1769719.5,0.0,0.0,0.0,0.0,0.0
1369256.0,0.0,0.0,0.0,0.0,0.0
218122.528014846,0.0,0.0,0.0,0.0,0.0
798355.5,0.0,0.0,0.0,0.0,0.0
1778477.5,0.0,0.0,0.0,0.0,0.0
411544.0,0.0,0.0,0.0,0.0,0.0
1183082.0,0.0,0.0,0.0,0.0,0.0
427540.5,0.0,0.0,0.0,0.0,0.0
1205227.5,0.0,0.0,0.0,0.0,0.0
474009.58579623,0.0,0.0,0.0,0.0,0.0
692842.0,0.0,0.0,0.0,0.0,0.0
1037681.5,0.0,0.0,0.0,0.0,0.0
257039.5,0.0,0.0,0.0,0.0,0.0
215597.5,0.0,0.0,0.0,0.0,0.0
1409137.0,0.0,0.0,0.0,0.0,0.0
738879.5,0.0,0.0,0.0,0.0,0.0
,0.0
1793806.5,0.0,0.0,0.0,0.0,0.0
207522.5,0.0,0.0,0.0,0.0,0.0
722902.0,0.0,0.0,0.0,0.0,0.0
