SM,dis_SM,cha_SM,w_SM,RT,Ref,dis_RT,cha_RT
500.0,0.0,0.0,8705.565,500.0,500.0,0.0,0.0
500.0,0.0,0.0,9037.215,500.0,500.0,0.0,0.0
500.0,0.0,0.0,9065.826000000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8913.762,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8779.4685,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8550.332999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8598.348,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8448.7095,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8346.987000000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8388.4185,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8538.453000000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8420.3955,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8381.9835,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8404.010999999999,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8459.9955,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8470.242,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8697.694500000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8466.1335,500.0,500.0,0.0,0.0
500.0,0.0,0.0,10547.113500000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,10436.184000000001,500.0,500.0,0.0,0.0
500.0,0.0,0.0,10019.1465,500.0,500.0,0.0,0.0
500.0,0.0,0.0,9636.66,500.0,500.0,0.0,0.0
500.0,0.0,0.0,9336.294,500.0,500.0,0.0,0.0
500.0,0.0,0.0,9103.149,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8894.7045,500.0,500.0,0.0,0.0
500.0,0.0,0.0,8803.476,500.0,500.0,0.0,0.0
