weather_year,portfolio_NPV_over_CAPEX,portfolio_NPV [MEuro],portfolio_IRR,portfolio_LCOE [Euro/MWh],portfolio_Revenues [MEuro],portfolio_CAPEX [MEuro],portfolio_OPEX [MEuro],portfolio_Wind CAPEX [MEuro],portfolio_Wind OPEX [MEuro],portfolio_PV CAPEX [MEuro],portfolio_PV OPEX [MEuro],portfolio_Batt CAPEX [MEuro],portfolio_Batt OPEX [MEuro],portfolio_Shared CAPEX [MEuro],portfolio_Shared OPEX [MEuro],portfolio_Mean Annual Electricity Sold [GWh],portfolio_GUF,portfolio_grid [MW],portfolio_wind [MW],portfolio_solar [MW],portfolio_Battery Energy [MWh],portfolio_Battery Power [MW],portfolio_Total curtailment [GWh],portfolio_Total curtailment with deg [GWh],portfolio_Awpp [km2],portfolio_Apvp [km2],portfolio_Plant area [km2],portfolio_Number of batteries used in lifetime,portfolio_Break-even PPA price [Euro/MWh],portfolio_Capacity factor wind [-],portfolio_AEP [GWh],portfolio_AEP with degradation [GWh],portfolio_lifetime_years,portfolio_input_rows_per_year,portfolio_input_rows_lifetime,portfolio_Mean Annual Wind Electricity [GWh],portfolio_Mean Annual Solar Electricity [GWh],portfolio_Mean Annual Battery Discharge [GWh],portfolio_Capacity factor solar [-],portfolio_CFADS [MEuro/yr],portfolio_CFADS degradation rate [-/yr],portfolio_Debt Amount [MEuro],portfolio_Annual Debt Service [MEuro/yr],portfolio_DSCR [-],portfolio_DSCR Avg [-],portfolio_LLCR [-],portfolio_DSCR Breach Years,portfolio_Debt Headroom [MEuro],portfolio_Debt Headroom [% of CAPEX]
2002,-0.9758846065134124,-1726.9837608501034,0.0,464.86978154522217,93.54518341577685,1768.808531146859,37.979833012096385,844.5999586468591,32.22922888709638,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4028.836043867103,0.45991279039578803,1000.0,480.0,605.0,0.0,0.0,3528.7957456298154,1842.1315560809956,95.2305372589477,9.68,104.8305372589477,0.0,582.1730615105856,,4102.521306110343,4102.521306110343,50.0,17520.0,438000.0,2519.099520883533,922.6822790000001,0.0,0.14813475456621,55.56535040368047,0.00269234831060553,1238.1659718028013,107.9489517154399,1.0212866615874021,1.0350486735437259,1.037818547986211,20.0,-707.0574787926441,-0.788063858612648
2003,-0.9781136821428404,-1731.3754472513917,0.0,498.9118194677436,86.64076750327649,1768.808531146859,36.91538144192184,844.5999586468591,31.164777316921835,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,3734.1057331481093,0.4262677777566335,1000.0,480.0,605.0,0.0,0.0,3240.043646516979,1692.9463174868415,95.2305372589477,9.68,104.8305372589477,0.0,624.8298123007069,,3801.8235858475828,3801.8235858475828,50.0,17520.0,438000.0,2277.727282748715,870.2595469999999,0.0,0.1461586757990867,49.72538606135467,0.002694025259123606,1238.1659718028013,107.9489517154399,0.9257386485083867,0.9387425270783619,0.9413598107287389,20.0,-762.8774212307336,-0.8446918533163619
2004,-0.9769803929897957,-1728.851388939007,0.0,467.7001994967099,91.04546060206587,1768.808531146859,37.960962037659904,844.5999586468591,32.2103579126599,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4007.970312179494,0.45753085755473677,1000.0,480.0,605.0,0.0,0.0,3456.3161360130603,1805.6408632597347,95.2305372589477,9.68,104.8305372589477,0.0,585.7233886207393,,4080.195946709885,4080.195946709885,50.0,17520.0,438000.0,2514.820388358253,906.0062300000001,0.0,0.1473932248858447,53.08449856440596,0.00269291391329914,1238.1659718028013,107.9489517154399,0.9749455541863818,0.9880531846134242,0.9906913552856338,20.0,-730.7701247521536,-0.8158657760562166
2005,-0.9797534527991973,-1733.5300836313409,0.0,456.87622797573886,85.369697382401,1768.808531146859,38.499606907347264,844.5999586468591,32.74900278234726,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4126.121152021804,0.4710183963495209,1000.0,480.0,605.0,0.0,0.0,3444.588517134276,1793.2855173093924,95.2305372589477,9.68,104.8305372589477,0.0,572.1669452670039,,4197.85257271418,4197.85257271418,50.0,17520.0,438000.0,2636.9620821649114,905.820893,0.0,0.1510848687214612,46.87009047505374,0.002693623192512137,1238.1659718028013,107.9489517154399,0.8577830500034288,0.869184611986598,0.871479409326126,20.0,-790.1691007562241,-0.8862170547291072
2006,-0.9732245310264638,-1721.7201550333607,0.0,471.2236026387603,100.26986288352529,1768.808531146859,37.70488028893502,844.5999586468591,31.95427616393502,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,3965.728713158337,0.4527087572098558,1000.0,480.0,605.0,0.0,0.0,3551.954251637173,1849.6917986279504,95.2305372589477,9.68,104.8305372589477,0.0,590.1318491674863,,4039.716385103455,4039.716385103455,50.0,17520.0,438000.0,2456.751964611115,924.933625,0.0,0.1483376712328767,62.56498259459026,0.002693731520384564,1238.1659718028013,107.9489517154399,1.135326877340606,1.14998723140754,1.1529379166793254,20.0,-640.1531206354202,-0.7204838435407714
2007,-0.9843793640138949,-1742.0918701659932,0.0,458.27815856705496,73.85185594430651,1768.808531146859,38.361958853223804,844.5999586468591,32.6113547282238,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4104.392860290624,0.4685379977500712,1000.0,480.0,605.0,0.0,0.0,3495.0787991506954,1821.0995946005885,95.2305372589477,9.68,104.8305372589477,0.0,573.919844818281,,4177.236844074647,4177.236844074647,50.0,17520.0,438000.0,2605.74937147932,910.7262230000001,0.0,0.1472027796803653,35.4898970910827,0.00269278522236365,1238.1659718028013,107.9489517154399,0.6607219037033081,0.6699996866730534,0.6718670357236696,20.0,-898.944035394712,-1.0036671600543543
2008,-0.9825619202987945,-1739.2584690058006,0.0,467.2046860722311,77.08241467975078,1768.808531146859,37.83159452929899,844.5999586468591,32.08099040429898,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4002.2361774499554,0.4568762759646068,1000.0,480.0,605.0,0.0,0.0,3581.7977161561107,1867.3896496737448,95.2305372589477,9.68,104.8305372589477,0.0,585.0957100694393,,4076.9317634369063,4076.9317634369063,50.0,17520.0,438000.0,2485.4853524487494,926.936305,0.0,0.15072615296803643,39.2508201504518,0.0026929243294529213,1238.1659718028013,107.9489517154399,0.7370033389012833,0.7476259651095568,0.7497639859086482,20.0,-862.9961260613378,-0.9575880000571142
2009,-0.973611027089945,-1721.8898649103173,0.0,466.6760460870181,100.33148525205162,1768.808531146859,37.98673954030024,844.5999586468591,32.23613541530024,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4016.8970083032846,0.45854988679261244,1000.0,480.0,605.0,0.0,0.0,3444.8485087990603,1790.190205204051,95.2305372589477,9.68,104.8305372589477,0.0,584.439620029751,,4088.504616511447,4088.504616511447,50.0,17520.0,438000.0,2520.6656270522085,903.1795775000002,0.0,0.14731323630136983,62.344745711751386,0.0026951372529035855,1238.1659718028013,107.9489517154399,1.1200239535959828,1.1339875869138667,1.1367980516690674,20.0,-642.2582037150738,-0.7302299237975194
2010,-0.9594664937852329,-1695.0609534039845,0.0,473.97155226120697,135.7406957805618,1768.808531146859,37.72902089005658,844.5999586468591,31.97841676505658,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,3948.5052976756656,0.4507426138899161,1000.0,480.0,605.0,0.0,0.0,3426.17062409711,1785.673552525766,95.2305372589477,9.68,104.8305372589477,0.0,593.5806837218889,,4019.9322397766964,4019.9322397766964,50.0,17520.0,438000.0,2462.226023822353,901.3128184999999,0.0,0.14643832762557074,98.01167489050522,0.0026937755042420585,1238.1659718028013,107.9489517154399,1.7240028669293253,1.7438189474931127,1.747807293033159,20.0,-301.3441472246962,-0.3710259936035814
2011,-0.979816968108423,-1733.6686655374656,0.0,452.72172045876397,85.3208761893495,1768.808531146859,38.63519235779854,844.5999586468591,32.884588232798535,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4166.47327896416,0.4756248035347215,1000.0,480.0,605.0,0.0,0.0,3472.27279829085,1812.6930877774057,95.2305372589477,9.68,104.8305372589477,0.0,566.9599085409629,,4238.981002475257,4238.981002475257,50.0,17520.0,438000.0,2667.7070822672413,913.468976,0.0,0.1464445547945205,46.685683831550975,0.002692372580491197,1238.1659718028013,107.9489517154399,0.8550420683171094,0.8664297642266331,0.8687217720103433,20.0,-791.9317088171881,-0.8878322621936955
2012,-0.9775385285945983,-1728.528387192933,0.0,449.6585633416894,92.2231833477173,1768.808531146859,38.69608761375096,844.5999586468591,32.94548348875096,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4193.207552027163,0.4786766611903154,1000.0,480.0,605.0,0.0,0.0,3593.6642721763565,1879.743328014809,95.2305372589477,9.68,104.8305372589477,0.0,563.1192299140478,,4268.397285147756,4268.397285147756,50.0,17520.0,438000.0,2681.515530329016,931.922223,0.0,0.14818309931506846,53.52709573396634,0.002692372614803948,1238.1659718028013,107.9489517154399,0.9540968581471388,0.9656376275775835,0.9679604297547033,20.0,-726.5396625301389,-0.8298703470729037
2013,-0.9757300756346874,-1726.3901850958496,0.0,469.90577105431487,94.18023168334202,1768.808531146859,37.82290018343267,844.5999586468591,32.07229605843267,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,3982.8431441260936,0.45466245937512484,1000.0,480.0,605.0,0.0,0.0,3477.0478129413823,1812.1362834486715,95.2305372589477,9.68,104.8305372589477,0.0,588.4841518106023,,4055.3285954640396,4055.3285954640396,50.0,17520.0,438000.0,2483.513845449584,906.346105,0.0,0.14902077054794516,56.35733149990936,0.002693719377902333,1238.1659718028013,107.9489517154399,1.0285190977400838,1.042061953845407,1.0447877232844638,20.0,-699.4875114756956,-0.7841026649270841
2014,-0.9798692664075316,-1733.972819064018,0.0,459.7467396362182,84.44158676299222,1768.808531146859,38.162208009874185,844.5999586468591,32.41160388487418,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4078.188450395449,0.4655466267574714,1000.0,480.0,605.0,0.0,0.0,3574.7075208553047,1860.553939991937,95.2305372589477,9.68,104.8305372589477,0.0,575.753681824167,,4152.610607995128,4152.610607995128,50.0,17520.0,438000.0,2560.4543956630787,927.3631235,0.0,0.14849450913242004,46.27937875311804,0.002693802507744151,1238.1659718028013,107.9489517154399,0.8523553317214021,0.8639249638872806,0.8662535949345215,20.0,-795.8152815174622,-0.889185522492571
2015,-0.983674482111051,-1741.179906015592,0.0,449.50174583081827,75.39440473581354,1768.808531146859,38.696181111077,844.5999586468591,32.945576986077,297.2085725,5.750604125000001,0.0,0.0,627.0,0.0,4194.325598554046,0.47880429207237973,1000.0,480.0,605.0,0.0,0.0,3537.1183832485344,1843.142746663352,95.2305372589477,9.68,104.8305372589477,0.0,562.9224968856436,,4268.051308420581,4268.051308420581,50.0,17520.0,438000.0,2681.5367315367344,921.0480675,0.0,0.14797938926940635,36.698223624736535,0.0026941853398659557,1238.1659718028013,107.9489517154399,0.6898932456160978,0.6998782951463597,0.7018880137264808,20.0,-887.394526938619,-0.9858186277642778
