weather_year,wind_MW [MW],NPV_over_CAPEX,NPV [MEuro],IRR,LCOE [Euro/MWh],Revenues [MEuro],CAPEX [MEuro],OPEX [MEuro],Wind CAPEX [MEuro],Wind OPEX [MEuro],PV CAPEX [MEuro],PV OPEX [MEuro],Batt CAPEX [MEuro],Batt OPEX [MEuro],Shared CAPEX [MEuro],Shared OPEX [MEuro],Mean Annual Electricity Sold [GWh],GUF,grid [MW],wind [MW],solar [MW],Battery Energy [MWh],Battery Power [MW],Awpp [km2],Apvp [km2],Plant area [km2],Break-even PPA price [Euro/MWh],lifetime_years,price_added,CFADS [MEuro/yr],CFADS degradation rate [-/yr],Debt Amount [MEuro],Annual Debt Service [MEuro/yr],DSCR Min [-],DSCR Avg [-],DSCR P90 [-],LLCR [-],DSCR Breach Years,Debt Headroom [MEuro],Debt Headroom [% of CAPEX]
2002,1425.0,-0.1167108414851107,-453.84899793165573,0.04657347348424816,56.834952996765395,345.2759108806664,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6513.781678655725,0.495721588938792,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,58.58313509307809,75.0,75.0,273.9436460806663,0.0,2722.063302,212.93807888152594,3.8236216937221648,3.8624827410443627,1.2745405645740548,3.8629595043495613,0.0,196.20269395315756,0.1531149322758779
2003,1425.0,-0.20568708449434928,-799.8475205677735,0.037289244002835134,61.870720127734735,317.6581801592132,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,5980.894980194823,0.45516704567692706,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,63.76807280147923,75.0,75.0,246.32591535921318,0.0,2722.063302,212.93807888152594,3.4409228197655124,3.474883722680776,1.1469742732551709,3.4758485660759746,25.0,-98.00337945974854,-0.0729844951028807
2004,1425.0,-0.186760921089422,-726.250070778905,0.03911595047874238,58.8916491801704,323.73482931211134,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6277.722399748634,0.4777566514268367,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,60.742363830226076,75.0,75.0,252.40256451211133,0.0,2722.063302,212.93807888152594,3.531912636778027,3.581108185504609,1.1773042122593422,3.5813259652388862,16.666666666666668,-33.27007081780073,-0.0110202251223111
2005,1425.0,-0.21733090651077822,-845.126407147689,0.035796040232561575,56.9928883265137,314.2612328189959,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6491.215579473837,0.4940042297925294,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,58.750257294035485,75.0,75.0,242.92896801899587,0.0,2722.063302,212.93807888152594,3.3790942336261685,3.4481342993637067,1.1263647445420562,3.448017667300685,16.666666666666668,-134.19036921048212,-0.088588325371171
2006,1425.0,-0.11283385661634848,-438.772714740703,0.04669894394724579,58.29021868911806,346.70965343895296,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6345.55915770274,0.4829192661874231,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,60.25940316572727,75.0,75.0,275.37738863895294,0.0,2722.063302,212.93807888152594,3.8534408546099224,3.91049844497353,1.2844802848699741,3.910367386136354,8.333333333333334,211.47606208802756,0.181124092901226
2007,1425.0,-0.2550161541278574,-991.6715922408806,0.03179071591599028,56.18547598024614,302.44757477345036,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6581.560687572567,0.500879808795477,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,57.92494287709391,75.0,75.0,231.11530997345034,0.0,2722.063302,212.93807888152594,3.224515453131483,3.2691048436241266,1.074838484377161,3.2694986297379227,25.0,-260.0388678173168,-0.1930221745525929
2008,1425.0,-0.24660328637650572,-958.9567942829755,0.03248461653240459,57.40612405958415,305.11043313610264,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6465.269870827682,0.49202967053483126,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,59.051094405138116,75.0,75.0,233.77816833610265,0.0,2722.063302,212.93807888152594,3.2587992137309874,3.317311883332422,1.0862664045769959,3.318460418921559,16.333333333333332,-231.67197877664344,-0.16490140138942033
2009,1425.0,-0.07181689362173327,-279.27161513051146,0.050829836327721825,58.18923953661771,359.4854459058815,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6356.201024074891,0.483729149472975,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,60.246769651216006,75.0,75.0,288.1531811058815,0.0,2722.063302,212.93807888152594,4.020099573566566,4.092098893904488,1.3400331911888552,4.09116891675105,6.0,347.57398317875334,0.2870576881109514
2010,1425.0,0.08038669208934335,312.5966635793932,0.065220306510166,59.18705635002693,406.7411005296048,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6272.099542348058,0.47732873229437284,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,61.06876281269033,75.0,75.0,335.4088357296048,0.0,2722.063302,212.93807888152594,4.721672698974549,4.759776744536858,1.573890899658183,4.7585670491099314,0.0,850.9788694680686,0.6765364343131679
2011,1425.0,-0.24404009921945102,-948.989426145295,0.03298609133767999,59.78597691612473,305.8950702209967,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6193.40408696989,0.4713397326461104,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,61.618546716307186,75.0,75.0,234.56280542099665,0.0,2722.063302,212.93807888152594,3.2397597660628534,3.3184946788007847,1.0799199220209512,3.3177949852360706,23.0,-223.31339935065535,-0.16421143736620858
2012,1425.0,-0.1943043050403767,-755.5837402443187,0.03830482293322864,57.55360755041909,321.35056805812053,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6425.03754561544,0.4889678497424231,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,59.38592126778624,75.0,75.0,250.01830325812048,0.0,2722.063302,212.93807888152594,3.475135779839928,3.546987128690695,1.158378593279976,3.5478777864429087,14.666666666666666,-58.66912147123786,-0.030924174930427997
2013,1425.0,-0.08111936550039962,-315.44578272880386,0.04990680637401281,56.079818733045634,356.60162681933207,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6598.164249352457,0.5021433979720286,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,57.91687237338906,75.0,75.0,285.2693620193321,0.0,2722.063302,212.93807888152594,3.9560071143988296,4.0514186389959015,1.3186690381329431,4.05051040622363,8.333333333333334,316.85324444594187,0.2633275394142764
2014,1425.0,-0.22693804055895098,-882.4853029047258,0.034882444278920954,56.83706403328185,311.22348814861266,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6504.594911393052,0.4950224437894255,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,58.62342769611542,75.0,75.0,239.89122334861264,0.0,2722.063302,212.93807888152594,3.3555759986769322,3.3980775134864603,1.1185253328923108,3.3980274003504816,16.666666666666668,-166.5508459099742,-0.11778811713289822
2015,1425.0,-0.2674686897550186,-1040.0952925945135,0.03037906376601612,57.69632173265779,298.55319612548095,3888.66186,71.3322648,2508.0,62.81589480000001,440.1618600000001,8.516370000000002,0.0,0.0,940.5,0.0,6418.514076963365,0.4884713909408953,1500.0,1425.0,896.4599999999999,0.0,0.0,283.4025974025974,3.0,283.4025974025974,59.41083371522222,75.0,75.0,227.220931325481,0.0,2722.063302,212.93807888152594,3.1450365398117768,3.2116326099792465,1.0483455132705923,3.2122826314442174,25.0,-301.5248922107738,-0.2265476441787724
