site,scenario_id,parameter_group,level,n_weather_years,NPV [MEuro] mean,NPV [MEuro] std,NPV [MEuro] p10,NPV [MEuro] p50,NPV [MEuro] p90,NPV_over_CAPEX mean,NPV_over_CAPEX std,NPV_over_CAPEX p10,NPV_over_CAPEX p50,NPV_over_CAPEX p90,IRR mean,IRR std,IRR p10,IRR p50,IRR p90,LCOE [Euro/MWh] mean,LCOE [Euro/MWh] std,LCOE [Euro/MWh] p10,LCOE [Euro/MWh] p50,LCOE [Euro/MWh] p90,Revenues [MEuro] mean,Revenues [MEuro] std,Revenues [MEuro] p10,Revenues [MEuro] p50,Revenues [MEuro] p90,LLCR [-] mean,LLCR [-] std,LLCR [-] p10,LLCR [-] p50,LLCR [-] p90
Sud_Atlantique_HiFiEMS,solar_opex_x1.20,solar_opex,1.2,34,-1014.0239219294754,147.27639347853557,-1169.319465788932,-1042.6499752952213,-781.1621443299624,-0.7243557724810441,0.10520511741318309,-0.8352892733605275,-0.7448044488390668,-0.5580137669853045,-0.04128953166656622,0.021729159925286,-0.06772849518983125,-0.04298725766039191,-0.008034147321145905,60.9144920052375,1.9489684382197752,59.03251467291119,61.15746566466543,63.15577754074299,57.26166571264013,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.3984092043773483,0.15214271945359917,0.23797106117353994,0.36882666470133496,0.6390100896482444
Sud_Atlantique_HiFiEMS,wacc_x0.80,wacc,0.8,34,-947.9650785215617,166.8526238432015,-1123.9061584300018,-980.3983395048941,-684.1333080236893,-0.677167433516718,0.11918916173541426,-0.802848824351885,-0.7003357427701706,-0.48870238669574234,-0.0390865105264008,0.02118965812501171,-0.06473110582055128,-0.040846346885932194,-0.006589600988173797,55.19308813036029,1.7659112508843662,53.487875834516224,55.41324044808805,57.22386054615619,57.261665712640124,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.41193782816626046,0.1521427194535992,0.2514996849624521,0.3823552884902472,0.6525387134371565
Sud_Atlantique_HiFiEMS,wacc_x0.90,wacc,0.9,34,-975.6587941176849,156.61500736066625,-1140.8029834245497,-1006.1008769551606,-728.023033747814,-0.6969501056210703,0.11187604373573139,-0.8149188677273054,-0.7186960407541523,-0.5200544835184546,-0.0390865105264008,0.02118965812501171,-0.06473110582055128,-0.040846346885932194,-0.006589600988173797,57.782488278607104,1.8487595025355608,55.99727544064403,58.01296910781106,59.90853498639583,57.26166571264012,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.41193782816626046,0.1521427194535992,0.2514996849624521,0.3823552884902472,0.6525387134371565
Sud_Atlantique_HiFiEMS,wacc_x1.10,wacc,1.1,34,-1024.0048827015462,138.7436521592684,-1170.301782460127,-1050.9718814530036,-804.6423462169288,-0.7314855515659398,0.0991098564474082,-0.8359909794404301,-0.7507491022472084,-0.5747865663325642,-0.0390865105264008,0.02118965812501171,-0.06473110582055128,-0.040846346885932194,-0.006589600988173797,63.16634443801049,2.0210167993655186,61.21479523379108,63.4183002100371,65.49048454751839,57.261665712640124,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.41193782816626046,0.15214271945359917,0.2514996849624521,0.3823552884902472,0.6525387134371565
Sud_Atlantique_HiFiEMS,wacc_x1.20,wacc,1.2,34,-1045.131903704778,130.93434565623153,-1183.1931976331507,-1070.5807387136438,-838.1242455734553,-0.746577384498145,0.09353137242724331,-0.845199806563819,-0.764756453199516,-0.5987039577747515,-0.039086510526400796,0.02118965812501171,-0.06473110582055128,-0.040846346885932194,-0.006589600988173797,65.95489364167213,2.1102368553399176,63.91719110647004,66.21797228417182,68.3816355260528,57.26166571264012,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.41193782816626046,0.15214271945359917,0.2514996849624521,0.3823552884902472,0.6525387134371565
Sud_Atlantique_HiFiEMS,wind_capex_x0.80,wind_capex,0.8,34,-835.754495074031,147.82606095662354,-991.6297230926784,-864.487431164367,-602.0231206473939,-0.6760577438412753,0.1195793188553837,-0.8021481873819907,-0.6993003636077982,-0.48698797922601517,-0.03143853239003761,0.021904549134527603,-0.05787627038356462,-0.03331179024039954,0.0021831906224192036,54.598763263431785,1.7468957363563409,52.911912869505926,54.81654495829046,56.60766811235175,57.261665712640124,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.46647999179781713,0.1722870046646166,0.2847992171553796,0.43298060931368254,0.7389373659781175
Sud_Atlantique_HiFiEMS,wind_capex_x0.90,wind_capex,0.9,34,-918.3851738474117,147.53378275618707,-1073.9521626468857,-947.0612763748284,-685.116195612303,-0.6967716432969082,0.11193272624620694,-0.8147991000931247,-0.7185279778397157,-0.5197922952809172,-0.03541216661110294,0.02152741861934158,-0.06143199357187469,-0.03722522181196419,-0.0023839282743962327,57.519958687891275,1.840359828343746,55.74285680550754,57.74939234796906,59.63634589175992,57.26166571264013,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.4375156112203327,0.16158946895160867,0.2671156443143104,0.40609625120327475,0.6930557344667052
Sud_Atlantique_HiFiEMS,wind_capex_x1.10,wind_capex,1.1,34,-1083.3793324558433,147.04799842885856,-1238.4340090211517,-1111.9609747571594,-850.8788855337602,-0.7311546375233715,0.09924024094688137,-0.8357984519696219,-0.7504439110867411,-0.5742439646863796,-0.04250126673629337,0.020884947069077252,-0.06780655605272548,-0.04421367671234916,-0.010483524132477854,63.362516326175786,2.027293348769679,61.404906313852855,63.61525458197556,65.69387437678347,57.26166571264013,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.3891854923936648,0.1437395042068387,0.23760874101967291,0.36123686888094964,0.616497401138089
Sud_Atlantique_HiFiEMS,wind_capex_x1.20,wind_capex,1.2,34,-1165.7713042793519,146.84395995632832,-1320.610800263876,-1194.3132717665449,-933.5936549952519,-0.7455794259061803,0.09391536312493928,-0.8446084053466282,-0.7638336955517084,-0.5970881413583112,-0.04568889472867291,0.02060828198246417,-0.07068544214184956,-0.04735873836566995,-0.014106066804319087,66.28386097230356,2.1207622151270598,64.23599486126027,66.54825178853277,68.7227068683164,57.261665712640124,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.36881493944503824,0.13621596276328204,0.22517194279724118,0.34232918884571295,0.5842290016267547
Sud_Atlantique_HiFiEMS,wind_opex_x0.80,wind_opex,0.8,34,-949.1244996688972,147.27639347853565,-1104.4200435283544,-977.7505530346433,-716.2627220693843,-0.6779956520455382,0.10520511741318314,-0.7889291529250221,-0.6984443284035609,-0.5116536465497986,-0.030981336175451395,0.019376830137850663,-0.05401389711959884,-0.032904950275693956,-0.0010709330570243954,58.57023327675386,1.873963523585618,56.76068274538872,58.80385623648529,60.72526424447634,57.261665712640124,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.4654195572699187,0.15214271945359917,0.3049814140661103,0.4358370175939053,0.7060204425408146
Sud_Atlantique_HiFiEMS,wind_opex_x0.90,wind_opex,0.9,34,-975.0229852796853,147.27639347853565,-1130.3185291391424,-1003.6490386454315,-742.1612076801723,-0.6964959232373616,0.10520511741318316,-0.8074294241168454,-0.7169445995953843,-0.530153917741622,-0.03492258892717689,0.020226027719359985,-0.05916778992624404,-0.036778078319552765,-0.003793438557315923,59.50572312909537,1.9038946637210687,57.66727026860015,59.74307753901705,61.69517447537877,57.261665712640124,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.43867869271808957,0.15214271945359914,0.27824054951428123,0.40909615304207625,0.6792795779889855
Sud_Atlantique_HiFiEMS,wind_opex_x1.10,wind_opex,1.1,34,-1026.819956501262,147.27639347853562,-1182.115500360719,-1055.4460098670083,-793.9581789017491,-0.7334964656210088,0.10520511741318314,-0.8444299665004923,-0.7539451419790315,-0.567154460125269,-0.04351083097060031,0.022295237141853545,-0.07079173644778756,-0.045136767082501084,-0.009465371463833298,61.37670283377844,1.963756943991969,59.48044531502301,61.62152014408058,63.63499493718363,57.26166571264013,11.662740187987536,44.9630267297881,54.99396946282123,75.70530615755841,0.38519696361443134,0.1521427194535992,0.22475882041062298,0.355614423938418,0.6257978488853274
Sud_Atlantique_HiFiEMS,wind_opex_x1.20,wind_opex,1.2,34,-1052.7184421120503,147.27639347853565,-1208.0139859715073,-1081.3444954777965,-819.8566645125373,-0.7519967368128322,0.10520511741318318,-0.8629302376923159,-0.7724454131708549,-0.5856547313170926,-0.04824477686816561,0.023580862375776324,-0.07747005203522954,-0.04968247931216663,-0.012427455175324845,62.31219268611996,1.993688084127419,60.38703283823445,62.56074144661235,64.60490516808606,57.261665712640124,11.662740187987534,44.9630267297881,54.99396946282123,75.70530615755841,0.35845609906260223,0.15214271945359914,0.19801795585879395,0.328873559386589,0.5990569843334982
